Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
of				
natural				
gas				
from				
the				
international				
market				
for				
use				
by				
the				
power				
plant				
.				
				
Renzu				
Luo				
,				
managing				
director				
of				
the				
Weir				Weir_Group
Group				Weir_Group
,				
is				
optimistic				
over				
the				
prospect				
of				
using				
liquefied				
natural				
gas				
as				
fuel				
for				
electricity				
generation				
along				
China				China
'				
s				
coastal				
regions				
.				
				
He				
holds				
that				
according				
to				
the				
experience				
of				
Asian				Asia
energy				
market				
development				
,				
liquefied				
natural				
gas				
has				
become				
the				
main				
material				
of				
clean				
fuel				
used				
for				
electricity				
generation				
.				
				
When				
the				
gross				
national				
product				
per				
capita				
reached				
3000				
US				United_States
dollars				
in				
Japan				Japan
,				
South				South_Korea
Korea				South_Korea
and				
Taiwan				Taiwan
,				
etc				
.				
,				
environmental				
protection				
awareness				
generally				
rose				
,				
and				
all				
began				
to				
obviously				
increase				
usage				
of				
electricity				
generated				
by				
liquefied				
natural				
gas				
.				
				
As				
the				
gross				
national				
product				
in				
China				China
'				
s				
coastal				
regions				
begins				
to				
approach				
this				
benchmark				
,				
it				
can				
be				
said				
to				
have				
had				
the				
conditions				
for				
electricity				
generation				
using				
natural				
gas				
in				
terms				
of				
financial				
resources				
.				
				
John				John_Weir_(disambiguation)
Weir				John_Weir_(disambiguation)
,				
president				
of				
the				
Weir				Weir_Group
Group				Weir_Group
who				
visited				
China				China
with				
US				United_States
Minister				
Brown				Gordon_Brown
and				
signed				
this				
agreement				
for				
electricity				
generation				
plant				
construction				
in				
Jiangsu				Jiangsu
,				
held				
that				
now				
is				
the				
best				
time				
to				
develop				
a				
project				
of				
joint				
circulatory				
electricity				
generation				
plant				
with				
natural				
gas				
as				
fuel				
in				
China				China
.				
				
Both				
parties				
,				
the				
US				United_States
and				
China				China
,				
will				
invest				
more				
time				
,				
money				
and				
resources				
to				
make				
this				
power				
plant				
project				
a				
successful				
model				
.				
(				
End				
)				
				
(				
ART				
ADV				
:				
Photo				
NYT1				
is				
being				
sent				
to				
NYT				
photo				
clients				
.				
Nonsubscribers				
can				
purchase				
one				
-				
time				
rights				
by				
calling				
888				
-				
603				
-				
1036				
or				
888				
-				
346				
-				
9867				
.				
)				
&				
QL				
;				
&				
UR				
;				
By				
BEN				
RAINES				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
				
Swarms				
of				
jellyfish				
consumed				
so				
many				
fish				
eggs				
and				
larvae				
in				
the				
Gulf				Gulf_of_Mexico
of				Gulf_of_Mexico
Mexico				Gulf_of_Mexico
this				
summer				
that				
some				
scientists				
are				
talking				
about				
the				
potential				
for				
serious				
future				
threats				
to				
commercial				
and				
recreational				
fisheries				
in				
the				
northern				
Gulf				Gulf_of_Mexico
.				
				
The				
jellyfish				
,				
a				
native				
species				
and				
an				
invading				
one				
,				
appeared				
in				
prime				
spawning				
areas				
just				
as				
breeding				
season				
for				
many				
of				
the				
Gulf				Gulf_of_Mexico
'				
s				
most				
important				
species				
kicked				
into				
high				
gear				
.				
				
According				
to				
the				
National				
Marine				
Fisheries				
Service				
,				
the				
number				
of				
jellyfish				
in				
the				
Gulf				Gulf_of_Mexico
has				
been				
rising				
for				
at				
least				
13				
years				
.				
				
Scientists				
say				
the				
jellyfish				
are				
exploiting				
three				
major				
human				
-				
induced				
changes				
in				
the				
environment				
:				
thousands				
of				
oil				
rigs				
and				
artificial				
reefs				
established				
to				
attract				
game				
fish				
have				
greatly				
increased				
the				
breeding				
habitat				
for				
jellyfish				
,				
which				
need				
a				
hard				
surface				
for				
spawning				
;				
nitrogen				
pollution				
from				
farm				
runoff				
and				
industrial				
sources				
feeds				
plankton				
blooms				
,				
providing				
extra				
food				
for				
jellyfish				
;				
and				
commercial				
fishermen				
take				
great				
numbers				
of				
menhaden				
,				
a				
soft				
-				
finned				
,				
bony				
fish				
that				
competes				
with				
jellyfish				
for				
the				
plankton				
.				
				
Dr				
.				
Monty				
Graham				
,				
a				
researcher				
at				
the				
Dauphin				
Island				
Sea				
Lab				
in				
Alabama				Alabama
,				
worries				
that				
with				
all				
these				
advantages				
jellyfish				
cannot				
help				
but				
multiply				
at				
an				
astonishing				
rate				
.				
				
Making				
matters				
much				
worse				
,				
he				
said				
,				
is				
the				
advent				
of				
Phyllorhiza				
punctata				
,				
or				
Australian				Australia
spotted				
jellyfish				
.				
				
The				
giant				
species				
,				
previously				
unreported				
in				
the				
Gulf				Gulf_of_Mexico
,				
is				
a				
25				
-				
pound				
bruiser				
of				
a				
jellyfish				
native				
to				
the				
Pacific				Pacific_Ocean
.				
				
Some				
time				
ago				
the				
basketball				
-				
size				
jellyfish				
established				
themselves				
in				
the				
Caribbean				Caribbean
.				
				
This				
summer				
,				
after				
apparently				
riding				
ocean				
currents				
north				
,				
they				
concentrated				
themselves				
in				
the				
passes				
between				
the				
barrier				
islands				
that				
separate				
the				
Mississippi				Mississippi_River
Sound				Mississippi_River
from				
the				
Gulf				Gulf_of_Mexico
of				Gulf_of_Mexico
Mexico				Gulf_of_Mexico
.				
				
The				
Australian				Australia
jellyfish				
have				
now				
mostly				
died				
off				
in				
the				
Gulf				Gulf_of_Mexico
.				
				
But				
fishery				
scientists				
worry				
that				
they				
may				
already				
have				
affected				
next				
year				
'				
s				
fish				
populations				
.				
				
And				
scientists				
say				
the				
animals				
were				
spawning				
prodigiously				
,				
broadcasting				
millions				
of				
their				
own				
eggs				
as				
they				
ate				
the				
eggs				
and				
larvae				
of				
native				
species				
.				
				
Popular				
sport				
fish				
,				
including				
redfish				
,				
speckled				
trout				
,				
white				
trout				
and				
Spanish				Spain
mackerel				
,				
as				
well				
as				
commercially				
important				
species				
like				
crabs				
and				
menhaden				
,				
spawn				
just				
outside				
the				
barrier				
islands				
.				
				
This				
year				
,				
their				
eggs				
and				
larvae				
had				
to				
drift				
with				
tidal				
currents				
through				
the				
jellyfish				
-				
choked				
passes				
to				
reach				
the				
estuaries				
that				
serve				
as				
nurseries				
for				
the				
baby				
fish				
.				
				
`				
`				
These				
things				
are				
incredibly				
efficient				
at				
turning				
the				
water				
over				
,				
cleaning				
it				
of				
everything				
in				
it				
,				
'				
'				
Graham				Graham_(disambiguation)
said				
.				
				
`				
`				
We				
'				
re				
finding				
them				
with				
200				
fish				
eggs				
in				
their				
guts				
.				
'				
'				
				
The				
newcomers				
had				
a				
frighteningly				
effective				
feeding				
pattern				
that				
involved				
swimming				
to				
the				
surface				
,				
then				
diving				
down				
to				
the				
bottom				
,				
scouring				
the				
water				
of				
virtually				
every				
living				
thing				
smaller				
than				
a				
BB				
pellet				
.				
				
After				
flowing				
through				
the				
jellyfish				
gantlet				
,				
scientists				
said				
,				
the				
water				
was				
almost				
devoid				
of				
living				
things				
.				
				
`				
`				
You				
really				
have				
two				
problems				
in				
terms				
of				
commercially				
important				
fish				
,				
'				
'				
said				
Harriet				
M				
.				
Perry				Perry_(disambiguation)
,				
director				
of				
the				
fisheries				
section				
of				
the				
Gulf				
Coast				
Research				
Laboratory				
in				
Mississippi				Mississippi
.				
				
`				
`				
First				
the				
jellies				
are				
ingesting				
the				
larvae				
and				
eggs				
of				
these				
commercially				
important				
species				
,				
and				
then				
the				
fish				
larvae				
must				
compete				
with				
these				
incredibly				
efficient				
jellies				
for				
the				
same				
food				
source				
.				
'				
'				
				
Perry				
said				
she				
worried				
that				
the				
Phyllorhiza				
might				
become				
permanent				
residents				
.				
				
Graham				Graham_(disambiguation)
said				
he				
feared				
that				
their				
offspring				
might				
appear				
in				
larger				
numbers				
next				
spring				
.				
				
He				
noted				
,				
though				
,				
that				
the				
newcomers				
represented				
a				
small				
threat				
compared				
with				
the				
monstrous				
herds				
of				
native				
moon				
jellyfish				
still				
swarming				
offshore				
below				
Alabama				Alabama
,				
Mississippi				Mississippi
and				
Louisiana				Louisiana
in				
a				
huge				
swath				
roughly				
100				
miles				
long				
and				
30				
miles				
wide				
.				
				
It				
is				
these				
jellyfish				
that				
worry				
Dr				
.				
Joanne				
Lyczkowski				
-				
Shultz				George_P._Shultz
,				
a				
larval				
specialist				
with				
the				
National				
Marine				
Fisheries				
Service				
.				
				
Lyczkowski				
-				
Shultz				George_P._Shultz
said				
the				
long				
-				
term				
picture				
might				
be				
bleak				
if				
the				
jellyfish				
populations				
continued				
to				
grow				
at				
their				
current				
pace				
.				
				
`				
`				
It				
could				
be				
totally				
devastating				
,				
'				
'				
she				
said				
.				
				
MERGER				
&				
QL				
;				
By				
ALEX				
BERENSON				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
&				
UR				
;				
&				
LR				
;				
Back				
in				
January				
,				
when				
Internet				Internet
stocks				
were				
hot				
,				
America				AOL
Online				AOL
agreed				
to				
buy				
Time				Time_Warner
Warner				Time_Warner
with				
AOL				AOL
stock				
.				
				
The				
deal				
,				
if				
approved				
by				
regulators				
,				
would				
leave				
AOL				AOL
shareholders				
with				
55				
percent				
of				
the				
merged				
company				
,				
even				
though				
Time				Time_Warner
Warner				Time_Warner
'				
s				
revenue				
and				
cash				
flow				
are				
far				
greater				
.				
				
Since				
then				
,				
AOL				AOL
'				
s				
stock				
has				
fallen				
by				
almost				
a				
third				
,				
destroying				
most				
of				
the				
premium				
the				
company				
had				
offered				
for				
control				
of				
Time	B	Time_Warner	http://en.wikipedia.org/wiki/Time_Warner	Time_Warner
Warner	I	Time_Warner	http://en.wikipedia.org/wiki/Time_Warner	Time_Warner
.				
				
So				
a				
Time				Time_Warner
Warner				Time_Warner
shareholder				
might				
conclude				
that				
America				AOL
Online				AOL
'				
s				
chairman				
,				
Stephen				Steve_Case
Case				Steve_Case
,				
had				
bamboozled				
his				
Time				Time_Warner
Warner				Time_Warner
counterpart				
,				
Gerald				Gerald_M._Levin
Levin				Gerald_M._Levin
,				
into				
taking				
AOL				AOL
'				
s				
shares				
at				
the				
worst				
possible				
time				
.				
				
`				
`				
Short				
term				
,				
anyone				
objective				
would				
say				
probably				
Steve				Steve_Jobs
got				
the				
better				
part				
of				
the				
deal				
,				
'				
'				
said				
Larry	B	Larry_Haverty	--NME--	
Haverty	I	Larry_Haverty	--NME--	
,				
a				
senior				
vice				
president				
at				
State	B	State_Street_Research	http://en.wikipedia.org/wiki/State_Street_Corporation	
Street	I	State_Street_Research	http://en.wikipedia.org/wiki/State_Street_Corporation	
Research	I	State_Street_Research	http://en.wikipedia.org/wiki/State_Street_Corporation	
in				
Boston	B	Boston	http://en.wikipedia.org/wiki/Boston	Boston
and				
a				
longtime				
media				
investor				
.				
				
But				
Haverty				Joe_Haverty
,				
like				
many				
other				
Time				Time_Warner
Warner				Time_Warner
shareholders				
and				
industry				
analysts				
,				
hardly				
cares				
.				
				
With				
the				
merger				
likely				
to				
be				
completed				
later				
this				
month				
,				
he				
predicts				
that				
the				
merged				
company				
will				
grow				
quickly				
by				
combining				
AOL				AOL
'				
s				
marketing				
skills				
and				
captive				
base				
of				
online				
users				
with				
Time				Time_Warner
Warner				Time_Warner
'				
s				
huge				
library				
of				
films				
,				
magazines				
and				
the				
like				
and				
its				
relationships				
with				
major				
advertisers				
.				
				
`				
`				
The				
deal				
strategically				
and				
financially				
makes				
all				
the				
sense				
in				
the				
world				
,				
'				
'				
Haverty				Joe_Haverty
said				
.				
				
`				
`				
Five				
years				
out				
,				
if				
you				
'				
re				
a				
shareholder				
in				
this				
company				
,				
you				
'				
re				
going				
to				
be				
a				
happy				
camper				
.				
'				
'				
				
That				
view				
is				
widely				
shared				
.				
				
`				
`				
Strategically				
,				
it				
makes				
a				
lot				
of				
sense				
,				
'				
'				
said				
Tom	B	Tom_Wolzien	--NME--	
Wolzien	I	Tom_Wolzien	--NME--	
of				
Sanford	B	Sanford_C._Bernstein	http://en.wikipedia.org/wiki/Sanford_Bernstein	Sanford_(disambiguation)
C	I	Sanford_C._Bernstein	http://en.wikipedia.org/wiki/Sanford_Bernstein	
.	I	Sanford_C._Bernstein	http://en.wikipedia.org/wiki/Sanford_Bernstein	
Bernstein	I	Sanford_C._Bernstein	http://en.wikipedia.org/wiki/Sanford_Bernstein	Carl_Bernstein
.				
				
`				
`				
These				
companies				
fill				
the				
holes				
of				
the				
other				
one				
.				
				
They				
'				
re				
subscription				
-				
advertising				
combo				
models				
.				
				
The				
reality				
is				
the				
pieces				
are				
very				
compatible				
.				
'				
'				
				
To				
be				
sure				
,				
the				
recent				
history				
of				
big				
media				
mergers				
is				
hardly				
comforting				
for				
shareholders				
in				
either				
AOL				AOL
or				
Time				Time_Warner
Warner				Time_Warner
.				
				
Disney	B	Disney	http://en.wikipedia.org/wiki/The_Walt_Disney_Company	The_Walt_Disney_Company
stumbled				
badly				
after				
it				
bought				
Capital	B	Capital_Cities/ABC	http://en.wikipedia.org/wiki/Capital_Cities_Communications	Capital_Cities_Communications
Cities	I	Capital_Cities/ABC	http://en.wikipedia.org/wiki/Capital_Cities_Communications	Capital_Cities_Communications
/	I	Capital_Cities/ABC	http://en.wikipedia.org/wiki/Capital_Cities_Communications	
ABC	I	Capital_Cities/ABC	http://en.wikipedia.org/wiki/Capital_Cities_Communications	American_Broadcasting_Company
in				
1996				
,				
and				
Time				Time_Warner
Warner				Time_Warner
stagnated				
for				
five				
years				
after				
it				
was				
created				
in				
1990				
by				
the				
merger				
of				
Time	B	Time	http://en.wikipedia.org/wiki/Time_Inc.	
and				
Warner	B	Warner	http://en.wikipedia.org/wiki/Warner_Communications	
.				
				
`				
`				
Huge				
deals				
are				
really				
hard				
to				
do				
and				
create				
a				
lot				
of				
uncertainty				
,				
'				
'				
said				
Roger	B	Roger_McNamee	http://en.wikipedia.org/wiki/Roger_McNamee	Roger_McNamee
McNamee	I	Roger_McNamee	http://en.wikipedia.org/wiki/Roger_McNamee	Roger_McNamee
of				
Integral	B	Integral_Capital	--NME--	
Capital	I	Integral_Capital	--NME--	
,				
which				
sold				
its				
404,000				
AOL				AOL
shares				
the				
day				
the				
merger				
was				
announced				
.				
				
But				
if				
the				
merged				
company				
can				
overcome				
that				
hurdle				
,				
it				
will				
have				
big				
advantages				
over				
Disney				The_Walt_Disney_Company
and				
other				
traditional				
media				
companies				
,				
which				
are				
still				
struggling				
to				
figure				
out				
how				
they				
can				
profit				
from				
the				
Internet				Internet
,				
said				
Jessica	B	Jessica_Reif	--NME--	
Reif	I	Jessica_Reif	--NME--	
of				
Merrill	B	Merrill_Lynch	http://en.wikipedia.org/wiki/Merrill_Lynch	Merrill_Lynch
Lynch	I	Merrill_Lynch	http://en.wikipedia.org/wiki/Merrill_Lynch	Merrill_Lynch
.				
				
`				
`				
Given				
the				
multiple				
distribution				
platforms				
that				
they				
have				
,				
it				
'				
s				
obviously				
a				
very				
powerful				
consumer				
engine				
,				
'				
'				
Reif				
said				
.				
				
`				
`				
There				
'				
s				
a				
reason				
that				
you				
see				
Disney				The_Walt_Disney_Company
and				
to				
a				
lesser				
extent				
NBC	B	NBC	http://en.wikipedia.org/wiki/NBC	NBC
screaming				
in				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
.				
'				
'				
				
John	B	John_Schreiber	--NME--	John_Schreiber
Schreiber	I	John_Schreiber	--NME--	John_Schreiber
,				
an				
assistant				
portfolio				
manager				
at				
Janus	B	Janus_Capital	http://en.wikipedia.org/wiki/Janus_Capital_Group	
Capital	I	Janus_Capital	http://en.wikipedia.org/wiki/Janus_Capital_Group	
,				
the				
mutual				
fund				
company				
that				
is				
Time				Time_Warner
Warner				Time_Warner
'				
s				
largest				
shareholder				
,				
with				
more				
than				
120				
million				
shares				
,				
said				
the				
companies				
had				
already				
begun				
to				
demonstrate				
how				
they				
would				
work				
together				
.				
				
For				
example				
,				
AOL				AOL
has				
pitched				
Time				Time_Warner
Warner				Time_Warner
'				
s				
magazines				
to				
its				
users				
,				
resulting				
in				
hundreds				
of				
thousands				
of				
new				
subscriptions				
.				
				
And				
the				
companies				
are				
trying				
to				
sell				
big				
advertisers				
on				
deals				
that				
will				
reach				
both				
America				AOL
Online				AOL
users				
and				
the				
people				
who				
watch				
Time				Time_Warner
Warner				Time_Warner
cable				
channels				
and				
read				
its				
magazines				
,				
Schreiber				John_Schreiber
said				
.				
				
`				
`				
Once				
the				
merger				
closes				
,				
I				
think				
you				
'				
ll				
see				
some				
very				
powerful				
cross				
-				
promotional				
deals				
across				
all				
of				
Time				Time_Warner
Warner				Time_Warner
'				
s				
advertisers				
,				
'				
'				
he				
said				
.				
				
Schreiber				Schreiber_(disambiguation)
also				
says				
the				
risk				
of				
cultural				
clashes				
between				
the				
companies				
is				
limited				
,				
because				
the				
companies				
disclosed				
publicly				
where				
top				
executives				
would				
stand				
in				
the				
combined				
company				
only				
a				
few				
weeks				
after				
the				
merger				
was				
announced				
.				
				
So				
people				
who				
feel				
their				
responsibilities				
have				
been				
diminished				
have				
had				
months				
to				
look				
for				
new				
jobs				
,				
and				
some				
have				
already				
left				
,				
he				
said				
.				
				
Given				
the				
strength				
he				
sees				
in				
the				
combined				
company				
,				
Schreiber				Schreiber_(disambiguation)
said				
the				
question				
of				
whether				
Levin				Gerald_M._Levin
could				
have				
negotiated				
a				
better				
deal				
with				
America				AOL
Online				AOL
is				
moot				
.				
				
Shares				
in				
cable				
companies				
like				
Comcast	B	Comcast	http://en.wikipedia.org/wiki/Comcast	Comcast
have				
fallen				
15				
percent				
or				
more				
this				
year				
,				
while				
big				
media				
companies				
have				
been				
flat				
or				
up				
slightly				
.				
				
So				
`				
`				
it				
'				
s				
not				
as				
if				
Time				Time_Warner
Warner				Time_Warner
shareholders				
have				
lost				
out				
on				
a				
great				
deal				
of				
upside				
,				
'				
'				
Schreiber				Schreiber_(disambiguation)
said				
.				
				
(				
EDS				
:				
This				
early				
version				
will				
be				
updated				
from				
Davenport				Davenport,_Iowa
,				
Iowa				Iowa
.				
)				
&				
QL				
;				
(				
ART				
ADV				
:				
Photos				
NYT11				
and				
25				
are				
being				
sent				
to				
NYT				
photo				
clients				
.				
				
Nonsubscribers				
can				
purchase				
one				
-				
time				
rights				
by				
calling				
888				
-				
603				
-				
1036				
or				
888				
-				
346				
-				
9867				
.				
)				
&				
QL				
;				
&				
UR				
;				
By				
FRANK				
BRUNI				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
QC				
;				
&				
LR				
;				
&				
QL				
;				
				
CHATTANOOGA	B	CHATTANOOGA	http://en.wikipedia.org/wiki/Chattanooga,_Tennessee	Chattanooga,_Tennessee
,				
Tenn	B	Tenn.	http://en.wikipedia.org/wiki/Tennessee	Tennessee
.	I	Tenn.	http://en.wikipedia.org/wiki/Tennessee	
				
_				
Nearly				
17				
months				
after				
he				
first				
issued				
his				
call				
for				
a				
`				
`				
fresh				
start				
after				
a				
season				
of				
cynicism				
,				
'				
'				
Gov				
.				
George				George_W._Bush
W				George_W._Bush
.				
Bush				George_W._Bush
ended				
his				
quest				
for				
the				
presidency				
Monday				
on				
a				
nearly				
identical				
note				
,				
pledging				
to				
purge				
Washington	B	Washington	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
of				
what				
he				
cast				
as				
a				
crippling				
discord				
.				
				
The				
course				
that				
Bush				George_W._Bush
charted				
over				
his				
final				
hours				
on				
the				
campaign				
trail				
,				
plotted				
with				
as				
much				
concern				
for				
symbolism				
as				
for				
raw				
electoral				
arithmetic				
,				
left				
no				
doubt				
about				
where				
he				
placed				
the				
blame				
for				
that				
atmosphere				
.				
				
His				
first				
major				
rally				
was				
in				
Tennessee				Tennessee
and				
his				
last				
was				
planned				
for				
Arkansas	B	Arkansas	http://en.wikipedia.org/wiki/Arkansas	Arkansas
,				
the				
home				
states				
,				
respectively				
,				
of				
Vice				
President				
Al				Al_Gore
Gore				Al_Gore
and				
President				
Clinton				Bill_Clinton
.				
				
The				
Texas				Texas
governor				
'				
s				
words				
made				
equally				
clear				
that				
he				
saw				
himself				
as				
the				
country				
'				
s				
best				
hope				
for				
bridging				
ideological				
divides				
,				
healing				
partisan				
wounds				
and				
making				
sure				
that				
Americans				United_States
could				
gaze				
upon				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	White_House
with				
unfettered				
respect				
.				
				
`				
`				
There				
'				
s				
a				
better				
day				
ahead				
if				
we				
have				
a				
leader				
who				
'				
s				
willing				
to				
unite				
the				
country				
,				
to				
bring				
people				
together				
,				
to				
elevate				
the				
people				
'				
s				
business				
above				
everyday				
politics				
,				
'				
'				
Bush				George_W._Bush
said				
at				
a				
rally				
inside				
a				
hangar				
at				
the				
airport				
here				
,				
where				
supporters				
'				
chants				
evoked				
the				
nearness				
of				
the				
moment				
of				
decision				
.				
				
`				
`				
One				
more				
day				
!				
'				
'				
they				
roared				
.				
`				
`				
One				
more				
day				
!				
'				
'				
				
What				
the				
nation				
needed				
,				
Bush				George_W._Bush
told				
them				
,				
was				
`				
`				
a				
president				
who				
can				
unite				
this				
nation				
,				
a				
president				
who				
puts				
aside				
the				
endless				
partisan				
bickering				
that				
seems				
to				
gridlock				
our				
nation				
'				
s				
capitol				
,				
a				
president				
who				
puts				
the				
people				
first				
,				
a				
president				
who				
lifts				
this				
nation				
'				
s				
spirits				
.				
				
`				
`				
I				
'				
ll				
be				
that				
president				
,				
'				
'				
he				
added				
,				
a				
sentence				
that				
was				
equal				
parts				
promise				
and				
prediction				
.				
				
It				
underscored				
the				
optimism				
that				
Bush				George_W._Bush
has				
,				
from				
the				
very				
beginning				
,				
sought				
to				
project				
to				
voters				
.				
				
His				
schedule				
over				
the				
course				
of				
a				
16				
-				
hour				
day				
was				
also				
an				
expression				
of				
that				
confidence				
.				
				
In				
between				
Tennessee				Tennessee
and				
Arkansas				Arkansas
,				
his				
campaign				
plane				
touched				
down				
in				
Wisconsin	B	Wisconsin	http://en.wikipedia.org/wiki/Wisconsin	Wisconsin
and				
Iowa	B	Iowa	http://en.wikipedia.org/wiki/Iowa	Iowa
,				
and				
while				
any				
one				
of				
those				
four				
states				
could				
wind				
up				
providing				
the				
key				
to				
a				
Bush				George_W._Bush
victory				
,				
none				
have				
as				
many				
electoral				
votes				
as				
such				
battlegrounds				
as				
Michigan	B	Michigan	http://en.wikipedia.org/wiki/Michigan	Michigan
and				
Pennsylvania	B	Pennsylvania	http://en.wikipedia.org/wiki/Pennsylvania	Pennsylvania
.				
				
But				
they				
are				
genuine				
tossups				
that				
were				
initially				
predicted				
to				
be				
much				
more				
hospitable				
to				
Gore				Al_Gore
.				
				
By				
visiting				
them				
Monday				
,				
Bush				George_W._Bush
emphasized				
the				
breadth				
of				
his				
appeal				
and				
the				
sometimes				
surprising				
vulnerability				
of				
the				
vice				
president				
.				
				
He				
did				
not				
let				
his				
assertion				
of				
strength				
and				
confidence				
distract				
him				
from				
the				
important				
business				
of				
beseeching				
supporters				
to				
grant				
him				
victory				
.				
				
With				
just				
24				
hours				
before				
Election				Election_Day_(United_States)
Day				Election_Day_(United_States)
,				
Bush				George_W._Bush
in				
many				
ways				
stripped				
campaigning				
to				
its				
essence				
:				
coaxing				
and				
cajoling				
,				
pleading				
and				
persuading				
.				
				
`				
`				
I				
want				
you				
to				
understand				
that				
I				
can				
'				
t				
win				
without				
you				
,				
'				
'				
Bush				George_W._Bush
told				
a				
crowd				
of				
more				
than				
1,000				
people				
at				
a				
convention				
center				
in				
Green	B	Green_Bay	http://en.wikipedia.org/wiki/Green_Bay,_Wisconsin	Green_Bay,_Wisconsin
Bay	I	Green_Bay	http://en.wikipedia.org/wiki/Green_Bay,_Wisconsin	Green_Bay,_Wisconsin
,				
Wis				Wisconsin
.				
				
`				
`				
I				
hope				
you				
redouble				
your				
efforts				
to				
make				
sure				
people				
get				
out				
to				
the				
polls				
.				
'				
'				
				
Minutes				
later				
,				
he				
added				
:				
`				
`				
When				
you				
go				
out				
there				
and				
tell				
the				
folks				
where				
we				
stand				
on				
the				
issues				
and				
where				
we				
stand				
when				
it				
comes				
to				
bringing				
people				
together				
to				
get				
things				
done				
,				
and				
you				
tell				
them				
that				
the				
core				
of				
this				
campaign				
is				
the				
inherent				
trust				
in				
the				
American				United_States
people				
,				
I				
believe				
it				
doesn				
'				
t				
matter				
what				
political				
party				
they				
'				
re				
in				
.				
				
They				
'				
re				
going				
to				
come				
our				
way				
.				
'				
'				
				
In				
Chattanooga				Chattanooga,_Tennessee
,				
Bush				George_W._Bush
repeatedly				
needled				
Gore				Al_Gore
,				
which				
was				
much				
of				
the				
point				
of				
going				
to				
Tennessee				Tennessee
,				
where				
Gore				Al_Gore
is				
not				
at				
all				
certain				
to				
prevail				
on				
Tuesday				
.				
				
The				
Texas				Texas
governor				
claimed				
that				
Gore				Al_Gore
'				
s				
decades				
of				
experience				
in				
Washington				Washington,_D.C.
had				
estranged				
him				
from				
the				
rest				
of				
the				
country				
by				
making				
him				
too				
trusting				
of				
federal				
government				
and				
too				
fond				
of				
federal				
spending				
.				
				
`				
`				
My				
opponent				
vows				
to				
carry				
his				
home				
state				
,				
'				
'				
Bush				George_W._Bush
said				
.				
				
`				
`				
He				
may				
win				
Washington				Washington,_D.C.
,				
D	B	D.C	http://en.wikipedia.org/wiki/Washington,_D.C.	
.	I	D.C	http://en.wikipedia.org/wiki/Washington,_D.C.	
C	I	D.C	http://en.wikipedia.org/wiki/Washington,_D.C.	
.				
,				
but				
he				
'				
s				
not				
going				
to				
win				
Tennessee				Tennessee
.				
				
`				
`				
He				
forgot				
his				
roots				
,				
'				
'				
Bush				George_W._Bush
added				
.				
				
`				
`				
He				
forgot				
where				
he				
'				
s				
from				
.				
				
He				
trusts				
Washington				Washington,_D.C.
.				
				
We				
trust				
the				
people				
.				
'				
'				
				
&				
UR				Ur_(disambiguation)
;				
By				
JAMES				
DAO				
&				
LR				
;				
&				
QC				
;				
&				
QL				
;				
&				
UR				
;				
c				
.				
2000				
N				
.				
Y				
.				
Times				
News				
Service				
&				
LR				
;				
&				
QC				
;				
&				
QL				
;				
				
WASHINGTON	B	WASHINGTON	http://en.wikipedia.org/wiki/Washington,_D.C.	Washington,_D.C.
_				
Ralph	B	Ralph_Nader	http://en.wikipedia.org/wiki/Ralph_Nader	Ralph_Nader
Nader	I	Ralph_Nader	http://en.wikipedia.org/wiki/Ralph_Nader	Ralph_Nader
may				
not				
be				
feeling				
any				
regrets				
about				
his				
Green				Green_Party_of_the_United_States
Party				Green_Party_of_the_United_States
presidential				
campaign				
,				
but				
some				
visitors				
to				
the				
chat				
room				
on				
Nader2000				
.				
org				
,				
Nader				Ralph_Nader
'				
s				
official				
campaign				
website				
,				
sounded				
as				
if				
a				
bad				
hangover				
had				
come				
crashing				
down				
on				
them				
.				
				
There				
was				
this				
entry				
,				
for				
instance				
,				
posted				
Thursday				
morning				
by				
a				
writer				
named				
`				
`				
wreckz				
'				
'				
:				
				
`				
`				
I				
,				
too				
,				
feel				
I				
should				
apologize				
to				
America	B	America	http://en.wikipedia.org/wiki/United_States	United_States
.				
I				
was				
duped				
.				
				
Ralph				Ralph_Nader
Nader				Ralph_Nader
'				
s				
enjoyment				
of				
all				
of				
this				
is				
an				
indication				
of				
a				
man				
more				
concerned				
with				
vindictive				
politics				
than				
the				
future				
of				
our				
country				
and				
planet				
.				
				
I				
am				
no				
longer				
a				
member				
of				
the				
Green				Green_Party_of_the_United_States
Party				Green_Party_of_the_United_States
.				
				
Instead				
,				
I				
